epoch,step,train_loss,val_loss
0,128,,0.687404990196228
0,128,0.5927591919898987,
1,257,,0.7276028394699097
1,257,0.4159265160560608,
2,386,,0.5845807790756226
2,386,0.34842148423194885,
3,515,,0.5456373691558838
3,515,0.2976157069206238,
4,644,,0.42796874046325684
4,644,0.2674374580383301,
5,773,,0.5452407002449036
5,773,0.2404899001121521,
6,902,,0.5770556330680847
6,902,0.2099587470293045,
7,1031,,0.38137930631637573
7,1031,0.20194566249847412,
8,1160,,0.4793549180030823
8,1160,0.18108855187892914,
9,1289,,0.3760225176811218
9,1289,0.163561150431633,
10,1418,,0.4940919578075409
10,1418,0.15560951828956604,
11,1547,,0.41042718291282654
11,1547,0.1470005363225937,
12,1676,,0.4789009988307953
12,1676,0.13751031458377838,
13,1805,,0.7170825600624084
13,1805,0.12871664762496948,
14,1934,,0.5281049013137817
14,1934,0.10526419430971146,
15,2063,,0.5049375891685486
15,2063,0.09749653935432434,
16,2192,,0.4435376226902008
16,2192,0.0943220853805542,
