epoch,step,train_loss,val_loss
0,60,,1.1695350408554077
0,60,0.29898470640182495,
1,121,,1.1313343048095703
1,121,0.1905023455619812,
2,182,,1.0615037679672241
2,182,0.17554715275764465,
3,243,,1.0337483882904053
3,243,0.16767838597297668,
4,304,,0.9899284243583679
4,304,0.1543678194284439,
5,365,,1.0187400579452515
5,365,0.14469440281391144,
6,426,,1.0642868280410767
6,426,0.1417848914861679,
7,487,,1.037301778793335
7,487,0.13157369196414948,
8,548,,1.0615335702896118
8,548,0.12265637516975403,
9,609,,1.0907137393951416
9,609,0.11332495510578156,
10,670,,1.010327696800232
10,670,0.10856546461582184,
11,731,,1.0278533697128296
11,731,0.10526981204748154,
