epoch,step,train_loss,val_loss
0,23,,0.4898149371147156
0,23,0.6703938841819763,
1,47,,0.40831196308135986
1,47,0.4778629541397095,
2,71,,0.4324774742126465
2,71,0.45941025018692017,
3,95,,0.45881012082099915
3,95,0.4525764584541321,
4,119,,0.3819590210914612
4,119,0.4531177580356598,
5,143,,0.37496423721313477
5,143,0.4403883218765259,
6,167,,0.4164516031742096
6,167,0.4245068430900574,
7,191,,0.326247900724411
7,191,0.41206738352775574,
8,215,,0.34354251623153687
8,215,0.40260761976242065,
9,239,,0.3660235106945038
9,239,0.39454197883605957,
10,263,,0.3223801851272583
10,263,0.40183085203170776,
11,287,,0.33091267943382263
11,287,0.37888240814208984,
12,311,,0.3783308267593384
12,311,0.3748919367790222,
13,335,,0.36262252926826477
13,335,0.3730023503303528,
14,359,,0.3734027147293091
14,359,0.36272114515304565,
15,383,,0.3772851824760437
15,383,0.34173136949539185,
16,407,,0.3722819983959198
16,407,0.3248256742954254,
17,431,,0.4370557963848114
17,431,0.3157317042350769,
