epoch,step,train_loss,val_loss
0,53,,0.5336589217185974
0,53,0.8310922384262085,
1,107,,0.5645347237586975
1,107,0.6340828537940979,
2,161,,0.5110918879508972
2,161,0.5691516995429993,
3,215,,0.5508131384849548
3,215,0.5035450458526611,
4,269,,0.5831104516983032
4,269,0.48284387588500977,
5,323,,0.5736368894577026
5,323,0.4607551693916321,
6,377,,0.4768722653388977
6,377,0.4249468743801117,
7,431,,0.5286948680877686
7,431,0.40086299180984497,
8,485,,0.5893669724464417
8,485,0.39436987042427063,
9,539,,0.6770229935646057
9,539,0.3862815499305725,
10,593,,0.8759315609931946
10,593,0.37063056230545044,
11,647,,0.7065293192863464
11,647,0.3358091711997986,
12,701,,0.7341270446777344
12,701,0.3273438811302185,
13,755,,0.6402786374092102
13,755,0.31387391686439514,
