epoch,step,train_loss,val_loss
0,229,,0.07180328667163849
0,229,0.474342942237854,
1,459,,0.20006155967712402
1,459,0.06529994308948517,
2,689,,0.05033716931939125
2,689,0.04317430779337883,
3,919,,0.04949769750237465
3,919,0.03340781480073929,
4,1149,,0.03534650057554245
4,1149,0.034611526876688004,
5,1379,,0.05025961622595787
5,1379,0.02831275202333927,
6,1609,,0.11948208510875702
6,1609,0.028339682146906853,
7,1839,,0.028666844591498375
7,1839,0.02401430532336235,
8,2069,,0.08465994894504547
8,2069,0.0248551182448864,
9,2299,,0.02492235042154789
9,2299,0.023935407400131226,
10,2529,,0.04296772927045822
10,2529,0.023705564439296722,
11,2759,,0.032483089715242386
11,2759,0.021139610558748245,
12,2989,,0.07229811698198318
12,2989,0.019059136509895325,
13,3219,,0.04206891730427742
13,3219,0.021589763462543488,
14,3449,,0.037383608520030975
14,3449,0.01652911677956581,
15,3679,,0.03562818467617035
15,3679,0.017427248880267143,
16,3909,,0.038358423858881
16,3909,0.01615491509437561,
