epoch,step,train_loss,val_loss
0,227,,0.41975829005241394
0,227,0.4107276201248169,
1,455,,0.014423861168324947
1,455,0.06727790832519531,
2,683,,0.08135746419429779
2,683,0.0428478941321373,
3,911,,0.008265160955488682
3,911,0.02629328891634941,
4,1139,,0.04243047907948494
4,1139,0.022731229662895203,
5,1367,,0.11082412302494049
5,1367,0.02123078890144825,
6,1595,,0.08144732564687729
6,1595,0.021181397140026093,
7,1823,,0.04379338398575783
7,1823,0.018057746812701225,
8,2051,,0.052345383912324905
8,2051,0.015738515183329582,
9,2279,,0.008238007314503193
9,2279,0.013264465145766735,
10,2507,,0.021981505677103996
10,2507,0.013307317160069942,
11,2735,,0.025550195947289467
11,2735,0.013655646704137325,
12,2963,,0.013622180558741093
12,2963,0.014227044768631458,
13,3191,,0.053800005465745926
13,3191,0.013600974343717098,
14,3419,,0.012489540502429008
14,3419,0.012189457193017006,
15,3647,,0.011005169712007046
15,3647,0.012042676098644733,
16,3875,,0.052304357290267944
16,3875,0.011687605641782284,
