epoch,step,train_loss,val_loss
0,20,,0.5541276931762695
0,20,1.0020283460617065,
1,41,,0.5652068853378296
1,41,0.9665771722793579,
2,62,,0.5604085326194763
2,62,0.9360482692718506,
3,83,,0.5259805917739868
3,83,0.9046061038970947,
4,104,,0.5273244380950928
4,104,0.8844577670097351,
5,125,,0.547981858253479
5,125,0.8763765096664429,
6,146,,0.5604526400566101
6,146,0.8476594686508179,
7,167,,0.5124623775482178
7,167,0.8379908800125122,
8,188,,0.5551291704177856
8,188,0.8297991156578064,
9,209,,0.5360291600227356
9,209,0.8195707201957703,
10,230,,0.5502836108207703
10,230,0.835504949092865,
11,251,,0.5346077680587769
11,251,0.8125925064086914,
12,272,,0.5317767858505249
12,272,0.792513370513916,
13,293,,0.535029411315918
13,293,0.7735478281974792,
14,314,,0.5524464249610901
14,314,0.7728541493415833,
