epoch,step,train_loss,val_loss
0,22,,0.1763756275177002
0,22,0.4915620982646942,
1,45,,0.16296818852424622
1,45,0.23647737503051758,
2,68,,0.15939563512802124
2,68,0.22618035972118378,
3,91,,0.15923325717449188
3,91,0.2116762101650238,
4,114,,0.17648397386074066
4,114,0.2039341777563095,
5,137,,0.14326930046081543
5,137,0.19586996734142303,
6,160,,0.13920067250728607
6,160,0.18956224620342255,
7,183,,0.13317909836769104
7,183,0.1801098883152008,
8,206,,0.12897731363773346
8,206,0.18360690772533417,
9,229,,0.12983214855194092
9,229,0.1713465005159378,
10,252,,0.1354953646659851
10,252,0.16472691297531128,
11,275,,0.1578342169523239
11,275,0.1624133288860321,
12,298,,0.12239781022071838
12,298,0.1621231585741043,
13,321,,0.1276983618736267
13,321,0.15467987954616547,
14,344,,0.13008514046669006
14,344,0.15430374443531036,
15,367,,0.12987136840820312
15,367,0.15229211747646332,
16,390,,0.1233026310801506
16,390,0.1494154930114746,
17,413,,0.13018493354320526
17,413,0.14121226966381073,
18,436,,0.11958736181259155
18,436,0.1381736546754837,
19,459,,0.12093072384595871
19,459,0.13432468473911285,
20,482,,0.12983863055706024
20,482,0.13734890520572662,
21,505,,0.12205091118812561
21,505,0.1363312155008316,
22,528,,0.12121175229549408
22,528,0.13338661193847656,
23,551,,0.12082532048225403
23,551,0.12976215779781342,
24,574,,0.12292197346687317
24,574,0.1291823387145996,
25,597,,0.12249542027711868
25,597,0.12703800201416016,
