site_id,season,horizon_bin,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
1,winter,0-6,2160,2.253762242755851,1.644669213732144,0.4761868313420755,0.46027870627063494
1,winter,6-12,2160,3.2651471349715013,2.5001101501206264,0.5017814867614729,0.4954527892119722
1,winter,12-18,2160,3.6048712980759317,2.8140130708155793,0.4636932551721118,0.47999153069959
1,winter,18-24,2160,3.7418934390131335,2.9314190224380043,0.14816426362694368,0.13787440187575184
1,spring,0-6,13110,2.2951955347372417,1.6109290542972183,0.5494821795548663,0.5478677147634745
1,spring,6-12,13110,3.5071825700119015,2.6844911246047256,0.6163756514830663,0.6490107025486662
1,spring,12-18,13110,3.8284403661254207,2.9536268316503063,0.5714760190292623,0.6040631957443523
1,spring,18-24,13110,3.923239836345358,3.039717427772256,0.29257225221429883,0.2841714554885614
1,summer,0-6,5808,1.8773257218695036,1.3206104786486748,0.726200662430931,0.7399545735456099
1,summer,6-12,5808,2.6868454973197258,2.0048959832818096,0.7913235371332454,0.8244805123542753
1,summer,12-18,5808,2.797437475468799,2.1026023486090346,0.7761048928801866,0.8120117453514616
1,summer,18-24,5808,2.8296859622996204,2.1172033255924947,0.5687367632807874,0.5657862584483613
1,fall,0-6,2184,1.9328843062577536,1.3850098844465584,0.6198991517477226,0.6192127982487239
1,fall,6-12,2184,2.7785348149988014,2.0697112631101984,0.6958663728322456,0.721112341093382
1,fall,12-18,2184,3.030934334967096,2.269344370032344,0.6699643545869443,0.714335590216849
1,fall,18-24,2184,3.2563270339144643,2.500736860293471,0.4114737098339314,0.40686310403855164
2,winter,0-6,2160,10.188626263519142,5.131437732424173,0.22099517348135533,0.2741527327148372
2,winter,6-12,2160,10.471369696004974,6.277899803438966,0.33650285604465036,0.37250944249415374
2,winter,12-18,2160,10.766677148417017,6.560274600294522,0.32402467437270754,0.3850188045012112
2,winter,18-24,2160,10.705225316060556,6.250969692222619,0.1196396865296292,0.1283569329012323
2,spring,0-6,13110,11.335458039839619,6.893117253603393,0.2833957380692136,0.28571858823729657
2,spring,6-12,13110,11.94965316292849,8.098596432967598,0.4268430313873305,0.4894644936919297
2,spring,12-18,13110,12.133336888413421,8.15719982938007,0.4080450537124398,0.47470888170517167
2,spring,18-24,13110,12.408604962161297,7.955126811362217,0.20321297119067505,0.21650035477056462
2,summer,0-6,5808,8.782635011644453,5.8059834536606285,0.26348879673040315,0.3126036709966058
2,summer,6-12,5808,9.025194008703771,6.30879469302075,0.41408817028021205,0.47769346837502646
2,summer,12-18,5808,8.863664854732066,6.31061943799011,0.4013330392972285,0.4636364849883462
2,summer,18-24,5808,8.592095976709755,5.970467921541414,0.2652770940120295,0.29553030929053015
2,fall,0-6,2184,9.644115075427028,6.11419040860946,0.3203512499095472,0.33366371155321795
2,fall,6-12,2184,10.00730163030796,6.630484377039979,0.4585700848450517,0.5145487460630846
2,fall,12-18,2184,10.149416634552255,6.871098275222192,0.45094927251990846,0.5054481146108296
2,fall,18-24,2184,10.156981128520071,6.732522038897267,0.3081250727561834,0.30726741782379363
