epoch,step,train_loss,val_loss
0,229,,1.160904049873352
0,229,0.7447445392608643,
1,459,,0.6501643657684326
1,459,0.6184823513031006,
2,689,,0.43011143803596497
2,689,0.5469447374343872,
3,919,,0.4915190637111664
3,919,0.4854651987552643,
4,1149,,0.5818529725074768
4,1149,0.4486103951931,
5,1379,,0.6834787130355835
5,1379,0.41697371006011963,
6,1609,,0.791765034198761
6,1609,0.40107297897338867,
7,1839,,0.6807274222373962
7,1839,0.33739331364631653,
8,2069,,0.7630036473274231
8,2069,0.3284491300582886,
9,2299,,0.5485067963600159
9,2299,0.31452831625938416,
