site_id,season,horizon_bin,n,rmse,mae,persistence_rmse,persistence_mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
3,fall,0-6,2136,4.3692441806239595,2.273060037848655,4.743648933526469,2.264725863710325,0.07892758468198313,-0.003679992475855709
3,fall,6-12,2136,5.463946293725527,3.1298894203557506,5.793572963213716,3.207561782236849,0.05689523055654133,0.024215390740480847
3,fall,12-18,2136,6.002752810415005,3.508541696527031,6.135974150578843,3.4500317555688294,0.02171152239148033,-0.016959247074685102
3,fall,18-24,2136,6.778888249085592,4.355235681998149,6.4486602732088745,3.484649704636706,-0.05120877234743748,-0.24983457482197813
3,spring,0-6,13095,17.87422508323697,10.028485493698208,19.12964669009294,9.969752859586794,0.06562701482124822,-0.005891082250342405
3,spring,6-12,13065,26.30053823778942,18.41815141399747,27.027475310729415,17.293296117888435,0.02689622558461513,-0.06504574306950484
3,spring,12-18,13035,32.14930024710238,23.93947126229787,30.450762741726013,20.544506609426133,-0.05577980163527729,-0.16524926674627838
3,spring,18-24,13005,39.516179297345744,30.376905904885028,31.80044965882895,21.378667672585177,-0.2426295766662101,-0.42089798906592746
3,summer,0-6,5457,13.217071111686963,5.792900065875914,14.105985318324674,5.707529931665231,0.0630168107067961,-0.014957457119418871
3,summer,6-12,5487,16.93851289460469,9.808990663445362,16.478418196087752,9.217821015889296,-0.027921047581264347,-0.06413333981393565
3,summer,12-18,5517,18.845650330202947,11.48803993876438,18.800345096129245,11.817804550549809,-0.0024098086413866238,0.02790405022987852
3,summer,18-24,5547,22.129817096058005,13.799763462361677,20.75354150369825,13.727613534028194,-0.06631521623017944,-0.005255824557898414
3,winter,0-6,1494,6.65365394358852,3.82836356411976,8.002574727319072,4.263806099234176,0.1685608481887243,0.10212531362357824
3,winter,6-12,1494,8.176846337634418,5.327788928745581,9.27506101777563,5.752554218133929,0.11840511647702234,0.07383942389440656
3,winter,12-18,1494,9.14202747948711,5.786851640366805,10.042267584842904,6.109488470646911,0.08964510233869416,0.05280913972261614
3,winter,18-24,1494,8.908643034590494,5.5274093454302236,8.8824159359411,4.996035554163267,-0.0029526987745833733,-0.10635908922308501
4,fall,0-6,1932,5.766231467992304,3.0314140769018643,5.741502827310823,2.889657781731268,-0.004306997910695554,-0.0490564301651204
4,fall,6-12,1926,9.348247346495771,5.766240258578323,9.323187649224007,5.397835497791769,-0.002687889401630894,-0.06825046093703047
4,fall,12-18,1920,11.301529663613977,7.3736891746521,11.4588513605219,6.843643167614937,0.013729272852768482,-0.07745085388808892
4,fall,18-24,1914,13.33194275681126,8.661479679394665,13.351382660556604,7.828189387465969,0.0014560217649048912,-0.10644738529996611
4,spring,0-6,13095,16.304462889647006,10.815889606861814,14.7015734969233,9.2058265712253,-0.10902842427439174,-0.17489608599287498
4,spring,6-12,13065,30.684259324222758,23.216170763613572,25.82179818075882,18.257281286252034,-0.18830838617146406,-0.2716116052336688
4,spring,12-18,13035,40.41759038256627,31.945310829551822,30.68614085708335,22.059212203294692,-0.3171284903763514,-0.44816190783008003
4,spring,18-24,13005,46.21903745925048,37.769951437510514,32.4887548396163,23.153263555201875,-0.42261646183163903,-0.6313014080049502
4,summer,0-6,4887,9.249441249520244,4.97683750556148,9.139889516222798,4.8911492656241755,-0.011986111331323768,-0.017519040062738744
4,summer,6-12,4923,15.039373756857819,9.247746535101097,12.865297977955764,8.609291737238953,-0.16898759613864023,-0.07415880624657523
4,summer,12-18,4959,17.382757976303992,11.41904797104968,15.590032074247343,11.36599184010485,-0.11499180332143077,-0.00466797193691626
4,summer,18-24,4995,19.2486832748991,13.736784554482462,17.64309688504417,13.133175214227135,-0.09100365997626914,-0.045960655394396754
4,winter,0-6,1974,7.581139427232766,4.7725057167122795,8.038139234254153,4.9759776725112,0.0568539302073674,0.04089084983700009
4,winter,6-12,1974,12.81631243994636,8.318476219911584,14.439647871035165,9.365717137113531,0.11242209267063163,0.11181641532307707
4,winter,12-18,1974,16.256494215706997,10.495910180738269,17.405614116372895,11.260423770429153,0.06602007220101236,0.06789385597534636
4,winter,18-24,1974,18.868364257747675,11.249038387093742,19.433166284004454,11.230578893103015,0.02906381893730159,-0.0016436814314233494
