epoch,step,train_loss,val_loss
0,142,,0.29672685265541077
0,142,0.33675718307495117,
1,285,,0.2839773893356323
1,285,0.2496594935655594,
2,428,,0.26722702383995056
2,428,0.22061015665531158,
3,571,,0.34028181433677673
3,571,0.20456187427043915,
4,714,,0.27923783659935
4,714,0.18544869124889374,
5,857,,0.3129390478134155
5,857,0.16706810891628265,
6,1000,,0.33761727809906006
6,1000,0.14943882822990417,
7,1143,,0.36298948526382446
7,1143,0.12156878411769867,
8,1286,,0.35432788729667664
8,1286,0.10879425704479218,
9,1429,,0.3529621362686157
9,1429,0.09928341954946518,
