epoch,step,train_loss,val_loss
0,22,,1.705588698387146
0,22,0.5478160977363586,
1,45,,1.387587547302246
1,45,0.32013699412345886,
2,68,,1.267268419265747
2,68,0.28008201718330383,
3,91,,1.2118912935256958
3,91,0.26016607880592346,
4,114,,1.2824336290359497
4,114,0.25575417280197144,
5,137,,1.2823899984359741
5,137,0.24883441627025604,
6,160,,1.3328239917755127
6,160,0.2317771315574646,
7,183,,1.2352802753448486
7,183,0.23177124559879303,
8,206,,1.2520060539245605
8,206,0.21894922852516174,
9,229,,1.2312618494033813
9,229,0.2105102390050888,
10,252,,1.146764874458313
10,252,0.2062089741230011,
11,275,,1.192936658859253
11,275,0.20190925896167755,
12,298,,1.2167314291000366
12,298,0.20199735462665558,
13,321,,1.2487660646438599
13,321,0.20200295746326447,
14,344,,1.232904314994812
14,344,0.1964516043663025,
15,367,,1.220576524734497
15,367,0.19319592416286469,
16,390,,1.2463581562042236
16,390,0.19120606780052185,
17,413,,1.2401951551437378
17,413,0.18860973417758942,
