epoch,step,train_loss,val_loss
0,22,,0.4396924078464508
0,22,0.978347897529602,
1,45,,0.4406631290912628
1,45,0.9187788963317871,
2,68,,0.4251618981361389
2,68,0.9165650010108948,
3,91,,0.4296426475048065
3,91,0.8701071739196777,
4,114,,0.4408356845378876
4,114,0.8433219790458679,
5,137,,0.42941659688949585
5,137,0.8129202127456665,
6,160,,0.43610987067222595
6,160,0.866367757320404,
7,183,,0.43076637387275696
7,183,0.7733511328697205,
8,206,,0.4280388057231903
8,206,0.7719240188598633,
9,229,,0.4329645335674286
9,229,0.6849225163459778,
